,Code departement,year,Type local,Valeur fonciere
13,1,2021,Dépendance,104086.6796875
29,10,2021,Dépendance,61499.7641509434
45,11,2021,Dépendance,67887.64417177915
61,12,2021,Dépendance,55673.25806451613
77,13,2021,Dépendance,168475.1794871795
93,14,2021,Dépendance,93838.76699029126
109,15,2021,Dépendance,39194.72222222222
125,16,2021,Dépendance,68049.45774647887
141,17,2021,Dépendance,87495.11647727272
157,18,2021,Dépendance,55180.72784810127
173,19,2021,Dépendance,46824.5
189,2,2021,Dépendance,41581.43396226415
205,21,2021,Dépendance,58771.61165048544
221,22,2021,Dépendance,71236.94029850746
237,23,2021,Dépendance,21563.57352941177
253,24,2021,Dépendance,97208.26119402984
269,25,2021,Dépendance,97190.91525423728
285,26,2021,Dépendance,103922.59782608696
301,27,2021,Dépendance,75507.23529411765
317,28,2021,Dépendance,52086.21276595745
333,29,2021,Dépendance,66803.31137724551
349,2A,2021,Dépendance,60195.57142857143
365,2B,2021,Dépendance,66166.66666666667
381,3,2021,Dépendance,34347.765432098764
397,30,2021,Dépendance,84407.09090909091
413,31,2021,Dépendance,97600.8275862069
429,32,2021,Dépendance,77908.01298701299
445,33,2021,Dépendance,119580.46601941748
461,34,2021,Dépendance,84534.45061728395
477,35,2021,Dépendance,91678.1843575419
493,36,2021,Dépendance,38574.5564516129
509,37,2021,Dépendance,74966.20855614974
525,38,2021,Dépendance,105729.02803738318
541,39,2021,Dépendance,48970.79032258064
557,4,2021,Dépendance,61282.0
573,40,2021,Dépendance,83491.625
589,41,2021,Dépendance,43443.62595419848
605,42,2021,Dépendance,74316.93129770992
621,43,2021,Dépendance,55677.27941176471
637,44,2021,Dépendance,94898.23051948052
653,45,2021,Dépendance,71501.55
669,46,2021,Dépendance,77021.95588235294
685,47,2021,Dépendance,64658.015625
701,48,2021,Dépendance,54911.11111111111
717,49,2021,Dépendance,70742.01260504202
733,5,2021,Dépendance,103982.8125
749,50,2021,Dépendance,78379.94
765,51,2021,Dépendance,81722.29411764706
781,52,2021,Dépendance,27996.71084337349
797,53,2021,Dépendance,62631.60283687944
813,54,2021,Dépendance,52870.696
829,55,2021,Dépendance,35285.53731343283
845,56,2021,Dépendance,84429.93532338309
861,58,2021,Dépendance,47997.479338842975
877,59,2021,Dépendance,79695.375
893,6,2021,Dépendance,108714.73684210528
909,60,2021,Dépendance,80755.31034482758
925,61,2021,Dépendance,49763.50833333333
941,62,2021,Dépendance,63714.73837209302
957,63,2021,Dépendance,54849.051094890514
973,64,2021,Dépendance,96387.03225806452
989,65,2021,Dépendance,55127.6
1005,66,2021,Dépendance,68047.51824817518
1021,69,2021,Dépendance,156537.1891891892
1037,7,2021,Dépendance,107671.23170731709
1053,70,2021,Dépendance,36815.0
1069,71,2021,Dépendance,56386.057692307695
1085,72,2021,Dépendance,55709.06465517241
1101,73,2021,Dépendance,101753.0
1117,74,2021,Dépendance,168001.59574468085
1130,75,2021,Dépendance,500.0
1146,76,2021,Dépendance,76463.88888888889
1162,77,2021,Dépendance,106175.22285714286
1178,78,2021,Dépendance,157743.7659574468
1194,79,2021,Dépendance,49089.26627218935
1210,8,2021,Dépendance,37524.91176470588
1226,80,2021,Dépendance,50135.38842975206
1242,81,2021,Dépendance,54841.736363636366
1258,82,2021,Dépendance,58548.3734939759
1274,83,2021,Dépendance,143276.20512820513
1290,84,2021,Dépendance,106446.54411764706
1306,85,2021,Dépendance,75796.24840764332
1322,86,2021,Dépendance,40402.02290076336
1338,87,2021,Dépendance,59880.51754385965
1354,88,2021,Dépendance,30166.88732394366
1370,89,2021,Dépendance,49523.81538461539
1386,9,2021,Dépendance,46969.06024096385
1402,90,2021,Dépendance,100363.33333333331
1418,91,2021,Dépendance,116524.63513513512
1434,92,2021,Dépendance,282500.0
1450,93,2021,Dépendance,208217.4347826087
1466,94,2021,Dépendance,200913.15789473685
1482,95,2021,Dépendance,166565.1052631579
1512,972,2021,Dépendance,250000.0
1541,974,2021,Dépendance,68333.33333333333
0,971,2021,Dépendance,42213.333333
1,973,2021,Dépendance,14000.0
